PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
338	Rene Pullens	Rene	 	Pullens	https://www.literatuurplein.nl/detail/persoon/rene-pullens/338	http://web.archive.org/web/20191129163810/https://www.literatuurplein.nl/detail/persoon/rene-pullens/338	200	Klik				
339	Hans Van De Waarsenburg	Hans	van de	Waarsenburg	https://www.literatuurplein.nl/persdetail?persId=339	http://web.archive.org/web/20191203191138/https://www.literatuurplein.nl/persdetail?persId=339	200	Klik	21-07-1943	Helmond	15-06-2015	Maastricht
340	Paul Van Loon	Paul	van	Loon	https://www.literatuurplein.nl/persdetail?persId=340	http://web.archive.org/web/20191203191154/https://www.literatuurplein.nl/persdetail?persId=340	200	Klik	17-04-1955	Geleen		
342	Mieke Geurts	Mieke	 	Geurts	https://www.literatuurplein.nl/detail/persoon/mieke-geurts/342	http://web.archive.org/web/20191129152533/https://www.literatuurplein.nl/detail/persoon/mieke-geurts/342	200	Klik				
343	Wim Burkunk	Wim		Burkunk	https://www.literatuurplein.nl/persdetail?persId=343	http://web.archive.org/web/20191203191212/https://www.literatuurplein.nl/persdetail?persId=343	200	Klik	28-12-1925		05-08-2008	
346	Philip Hopman	Philip		Hopman	https://www.literatuurplein.nl/persdetail?persId=346	http://web.archive.org/web/20191203191229/https://www.literatuurplein.nl/persdetail?persId=346	200	Klik	16-07-1961	Egmond		
347	Tais Teng	Tais	 	Teng	https://www.literatuurplein.nl/detail/persoon/tais-teng/347	http://web.archive.org/web/20191129170935/https://www.literatuurplein.nl/detail/persoon/tais-teng/347	200	Klik				
350	Boeli Van Leeuwen	Boeli	van	Leeuwen	https://www.literatuurplein.nl/persdetail?persId=350	http://web.archive.org/web/20191203191247/https://www.literatuurplein.nl/persdetail?persId=350	200	Klik	10-10-1922	Curaçao	28-11-2007	Curaçao
352	J.J. Dronkers	J.J.		Dronkers	https://www.literatuurplein.nl/persdetail?persId=352	http://web.archive.org/web/20191203191303/https://www.literatuurplein.nl/persdetail?persId=352	200	Klik	1955			
354	Joh G Veenhof	Joh G	 	Veenhof	https://www.literatuurplein.nl/detail/persoon/joh-g-veenhof/354	http://web.archive.org/web/20191129141359/https://www.literatuurplein.nl/detail/persoon/joh-g-veenhof/354	200	Klik				
361	Harmen Van Straaten	Harmen	van	Straaten	https://www.literatuurplein.nl/persdetail?persId=361	http://web.archive.org/web/20191203191320/https://www.literatuurplein.nl/persdetail?persId=361	200	Klik	15-09-1961	Arnhem		
362	Henk Hokke	Henk		Hokke	https://www.literatuurplein.nl/persdetail?persId=362	http://web.archive.org/web/20191203191338/https://www.literatuurplein.nl/persdetail?persId=362	200	Klik	26-04-1955	Nunspeet		
