LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Haakpatronen	http://web.archive.org/web/20191130194853/https://www.literatuurplein.nl/trefwoord?trefwoord=Haakpatronen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Handelskennis	http://web.archive.org/web/20191130194900/https://www.literatuurplein.nl/trefwoord?trefwoord=Handelskennis	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Harley-Davidson (motorfiets)	http://web.archive.org/web/20191130194908/https://www.literatuurplein.nl/trefwoord?trefwoord=Harley-Davidson%20(motorfiets)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Heksen	http://web.archive.org/web/20191130194915/https://www.literatuurplein.nl/trefwoord?trefwoord=Heksen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Hengelsport	http://web.archive.org/web/20191130194923/https://www.literatuurplein.nl/trefwoord?trefwoord=Hengelsport	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Hindoestanen	http://web.archive.org/web/20191130194930/https://www.literatuurplein.nl/trefwoord?trefwoord=Hindoestanen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Hockey	http://web.archive.org/web/20191130194937/https://www.literatuurplein.nl/trefwoord?trefwoord=Hockey	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Homeopathie	http://web.archive.org/web/20191130194944/https://www.literatuurplein.nl/trefwoord?trefwoord=Homeopathie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Homoseksualiteit	http://web.archive.org/web/20191130194952/https://www.literatuurplein.nl/trefwoord?trefwoord=Homoseksualiteit	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Honden, Africhting	http://web.archive.org/web/20191130194959/https://www.literatuurplein.nl/trefwoord?trefwoord=Honden,%20Africhting	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Honden, Psychologie	http://web.archive.org/web/20191130195006/https://www.literatuurplein.nl/trefwoord?trefwoord=Honden,%20Psychologie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Honderdjarige Oorlog (1337-1453)	http://web.archive.org/web/20191130195013/https://www.literatuurplein.nl/trefwoord?trefwoord=Honderdjarige%20Oorlog%20(1337-1453)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Honkbal	http://web.archive.org/web/20191130195021/https://www.literatuurplein.nl/trefwoord?trefwoord=Honkbal	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Houtbewerking	http://web.archive.org/web/20191130195029/https://www.literatuurplein.nl/trefwoord?trefwoord=Houtbewerking	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Houtdraaien	http://web.archive.org/web/20191130195036/https://www.literatuurplein.nl/trefwoord?trefwoord=Houtdraaien	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Hugenoten	http://web.archive.org/web/20191130195043/https://www.literatuurplein.nl/trefwoord?trefwoord=Hugenoten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Huiselijk geweld	http://web.archive.org/web/20191130195051/https://www.literatuurplein.nl/trefwoord?trefwoord=Huiselijk%20geweld	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Hydraulische techniek	http://web.archive.org/web/20191130195058/https://www.literatuurplein.nl/trefwoord?trefwoord=Hydraulische%20techniek	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=IJsrecepten	http://web.archive.org/web/20191130195105/https://www.literatuurplein.nl/trefwoord?trefwoord=IJsrecepten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Incest	http://web.archive.org/web/20191130195112/https://www.literatuurplein.nl/trefwoord?trefwoord=Incest	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Incest, Verhalen	http://web.archive.org/web/20191130195119/https://www.literatuurplein.nl/trefwoord?trefwoord=Incest,%20Verhalen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Indianen	http://web.archive.org/web/20191130195126/https://www.literatuurplein.nl/trefwoord?trefwoord=Indianen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Indonesische keuken	http://web.archive.org/web/20191130195133/https://www.literatuurplein.nl/trefwoord?trefwoord=Indonesische%20keuken	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Indonesische recepten	http://web.archive.org/web/20191130195140/https://www.literatuurplein.nl/trefwoord?trefwoord=Indonesische%20recepten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Interieurfotografie	http://web.archive.org/web/20191130195147/https://www.literatuurplein.nl/trefwoord?trefwoord=Interieurfotografie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Interneringskampen	http://web.archive.org/web/20191130195154/https://www.literatuurplein.nl/trefwoord?trefwoord=Interneringskampen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Iran	http://web.archive.org/web/20191130195201/https://www.literatuurplein.nl/trefwoord?trefwoord=Iran	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jacht	http://web.archive.org/web/20191130195208/https://www.literatuurplein.nl/trefwoord?trefwoord=Jacht	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jachtverhalen	http://web.archive.org/web/20191130195215/https://www.literatuurplein.nl/trefwoord?trefwoord=Jachtverhalen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jehova's getuigen	http://web.archive.org/web/20191130195222/https://www.literatuurplein.nl/trefwoord?trefwoord=Jehova's%20getuigen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jeugdboekenschrijvers	http://web.archive.org/web/20191130195229/https://www.literatuurplein.nl/trefwoord?trefwoord=Jeugdboekenschrijvers	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jeugdcriminaliteit	http://web.archive.org/web/20191130195236/https://www.literatuurplein.nl/trefwoord?trefwoord=Jeugdcriminaliteit	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Jodenvervolging	http://web.archive.org/web/20191130195243/https://www.literatuurplein.nl/trefwoord?trefwoord=Jodenvervolging	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Judo	http://web.archive.org/web/20191130195250/https://www.literatuurplein.nl/trefwoord?trefwoord=Judo	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Kaas	http://web.archive.org/web/20191130195258/https://www.literatuurplein.nl/trefwoord?trefwoord=Kaas	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Kalligrafie	http://web.archive.org/web/20191130195305/https://www.literatuurplein.nl/trefwoord?trefwoord=Kalligrafie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Kantklossen	http://web.archive.org/web/20191130195312/https://www.literatuurplein.nl/trefwoord?trefwoord=Kantklossen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Karelromans	http://web.archive.org/web/20191130195319/https://www.literatuurplein.nl/trefwoord?trefwoord=Karelromans	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Katachtigen	http://web.archive.org/web/20191130195326/https://www.literatuurplein.nl/trefwoord?trefwoord=Katachtigen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Katten	http://web.archive.org/web/20191130195332/https://www.literatuurplein.nl/trefwoord?trefwoord=Katten	200	Klik
